date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:39	59089/59089	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Jun%202021%2017:34:00%20GMT	https://golohtml.uxper.co/demo/home-countryguide.html	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/home-countryguide.html	(from )
17:54:40	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2015:54:44%20GMT	https://golohtml.uxper.co/robots.txt		(from )
17:54:40	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2026%20Dec%202019%2005:59:52%20GMT	https://golohtml.uxper.co/demo/images/favicon.ico	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/images/favicon.ico	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:41	1177/1177	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:48%20GMT	https://golohtml.uxper.co/demo/fonts/jost/stylesheet.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/fonts/jost/stylesheet.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:41	2554/2554	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Sep%202020%2022:47:54%20GMT	https://golohtml.uxper.co/demo/fonts/cormorant_garamond/stylesheet.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/fonts/cormorant_garamond/stylesheet.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:42	56161/56161	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/fontawesome-pro/css/fontawesome.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/fontawesome-pro/css/fontawesome.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:42	89730/89730	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/line-awesome/css/line-awesome.min.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/line-awesome/css/line-awesome.min.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:43	155631/155631	---MCZ	200	added ('OK')	text/css	date:Fri,%2014%20May%202021%2005:05:24%20GMT	https://golohtml.uxper.co/demo/libs/bootstrap/css/bootstrap.min.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/bootstrap/css/bootstrap.min.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:43	3347/3347	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/slick/slick-theme.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/slick/slick-theme.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:43	1893/1893	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/slick/slick.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/slick/slick.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:43	26225/26225	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/quilljs/css/quill.bubble.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/quilljs/css/quill.bubble.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:44	9417/9417	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/quilljs/css/quill.core.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/quilljs/css/quill.core.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:44	25688/25688	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/quilljs/css/quill.snow.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/quilljs/css/quill.snow.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:45	10230/10230	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/chosen/chosen.min.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/chosen/chosen.min.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:45	220324/220324	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Jun%202021%2000:34:00%20GMT	https://golohtml.uxper.co/demo/css/style.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/css/style.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:46	43546/43546	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Jun%202021%2000:14:12%20GMT	https://golohtml.uxper.co/demo/css/responsive.css	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/css/responsive.css	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:46	304436/304436	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/js/jquery-1.12.4.js	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/js/jquery-1.12.4.js	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:47	83505/83505	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20May%202020%2014:16:06%20GMT	https://golohtml.uxper.co/demo/libs/popper/popper.js	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/popper/popper.js	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:47	60091/60091	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2014%20May%202021%2005:05:24%20GMT	https://golohtml.uxper.co/demo/libs/bootstrap/js/bootstrap.min.js	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/bootstrap/js/bootstrap.min.js	(from https://golohtml.uxper.co/demo/home-countryguide.html)
17:54:48	43898/43898	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2009%20Feb%202020%2004:04:50%20GMT	https://golohtml.uxper.co/demo/libs/slick/slick.min.js	C:/Users/awadi/OneDrive/Bureau/IA_School_M2/ProjetIA/Zara%20Second%20Life/golohtml.uxper.co/demo/libs/slick/slick.min.js	(from https://golohtml.uxper.co/demo/home-countryguide.html)
